# Time-averaged data for fix myavt
# TimeStep c_mymsd[4]
1000 7.48779
2000 22.7765
3000 38.6548
4000 54.192
5000 69.9349
6000 86.4776
7000 102.844
8000 119.217
9000 135.241
10000 152.782
11000 170.988
12000 189.952
13000 207.812
14000 226.487
15000 246.333
16000 265.123
17000 283.653
18000 302.127
19000 320.477
20000 338.489
21000 357.604
22000 378.244
23000 398.122
24000 418.359
25000 439.393
26000 459.367
27000 479.575
28000 501.426
29000 522.292
30000 543.691
31000 566.32
32000 588.208
33000 610.852
34000 632.869
35000 655.761
36000 679.171
37000 704.338
38000 727.121
39000 751.405
40000 776.194
41000 800.141
42000 824.701
43000 849.711
44000 874.77
45000 900.007
46000 925.099
47000 951.226
48000 978.199
49000 1006.28
50000 1032.55
