# Time-averaged data for fix myavt
# TimeStep c_mymsd[4]
0 1.41656e-32
5000 232.675
10000 478.702
15000 736.699
20000 996.247
25000 1256.31
30000 1532.05
35000 1804.95
40000 2080.08
45000 2372.5
50000 2677.37
55000 2989.32
60000 3309.77
65000 3636.23
70000 3986.46
75000 4315.86
80000 4652.33
85000 4994.66
90000 5346.48
95000 5706.66
100000 6043.58
105000 6401.56
110000 6755.94
115000 7146.89
120000 7520.58
125000 7926
130000 8329.66
135000 8732.27
140000 9141.19
145000 9562.51
150000 10004.9
155000 10445.4
160000 10863.8
165000 11320.3
170000 11779.9
175000 12258.2
180000 12717.2
185000 13238.1
190000 13718.4
195000 14192.6
200000 14692
205000 15188.5
210000 15721.8
215000 16256.2
220000 16762.8
225000 17288.2
230000 17816.4
235000 18336.8
240000 18868.5
245000 19399.9
250000 19965
255000 20522.3
260000 21106.4
265000 21714.5
270000 22310
275000 22919.1
280000 23503.7
285000 24097.7
290000 24676.4
295000 25283.3
300000 25869.4
305000 26496.1
310000 27152.8
315000 27809
320000 28456.4
325000 29110.3
330000 29784.3
335000 30481.6
340000 31172.7
345000 31847
350000 32522.2
355000 33236.3
360000 33955.7
365000 34659.9
370000 35391.8
375000 36107.7
380000 36841
385000 37555.5
390000 38281.4
395000 38996.2
400000 39792.3
405000 40575.5
410000 41340.7
415000 42113.7
420000 42862.6
425000 43668.7
430000 44461.1
435000 45285.7
440000 46089.5
445000 46881.1
450000 47684
455000 48489.6
460000 49332.1
465000 50206.6
470000 51083.7
475000 51952.3
480000 52839.1
485000 53686.1
490000 54571.7
495000 55437.5
500000 56339.4
505000 57202.3
510000 58109.6
