# Time-averaged data for fix myavt
# TimeStep c_mymsd[4]
0 2.71728e-32
5000 130.124
10000 264.748
15000 398.396
20000 539.99
25000 686.814
30000 842.819
35000 1001.21
40000 1161.81
45000 1335.05
50000 1505.18
55000 1680.76
60000 1864.21
65000 2037.62
70000 2216.15
75000 2406.23
80000 2603.06
85000 2803.52
90000 3000.34
95000 3214.73
100000 3426.92
105000 3646.01
110000 3884.49
115000 4112.56
120000 4345.69
125000 4592.96
130000 4836.97
135000 5085.66
140000 5335.14
145000 5584.17
150000 5835.61
155000 6100.11
160000 6361.11
165000 6634.08
170000 6907.12
175000 7184.79
180000 7475.77
185000 7749.33
190000 8053
195000 8350.58
200000 8659.49
205000 8961.55
210000 9256
215000 9561.5
220000 9889.59
225000 10213.3
230000 10547.4
235000 10902.4
240000 11256.4
245000 11596.5
250000 11945.4
255000 12287.8
260000 12645.6
265000 13016.2
270000 13380.6
275000 13746.3
280000 14138.9
285000 14525.1
290000 14903.6
295000 15285.8
300000 15678.9
305000 16072
310000 16476
315000 16881.3
320000 17287.7
325000 17704.9
330000 18109.9
335000 18529
340000 18963.5
345000 19387.5
350000 19821.8
355000 20251.8
360000 20712.6
365000 21175.2
370000 21618.9
375000 22087.4
380000 22540.6
385000 23013.9
390000 23472.9
395000 23921.4
400000 24404.2
405000 24882.4
410000 25371.3
415000 25875.3
420000 26390.4
425000 26901.7
430000 27402
435000 27905.8
440000 28421.8
445000 28939.9
450000 29451.4
455000 29975.4
460000 30498.7
465000 31054.6
470000 31600.6
475000 32142.7
480000 32688.9
485000 33248.8
490000 33802.1
495000 34361.4
500000 34906.9
505000 35486.1
510000 36067.7
