# Time-averaged data for fix myavt
# TimeStep c_mymsd[4]
1000 5.59098
2000 16.5008
3000 28.0018
4000 39.5481
5000 50.8553
6000 62.3479
7000 73.2077
8000 84.3067
9000 95.6241
10000 107.259
11000 118.747
12000 130.419
13000 142.162
14000 153.872
15000 165.756
16000 178.998
17000 191.675
18000 204.127
19000 215.653
20000 228.227
21000 240.475
22000 252.608
23000 265.112
24000 278.164
25000 291.302
26000 303.935
27000 316.668
28000 329.497
29000 343.779
30000 356.525
31000 370.278
32000 384.604
33000 397.352
34000 411.84
35000 425.604
36000 438.643
37000 452.409
38000 466.725
39000 481.024
40000 493.653
41000 507.839
42000 523.521
43000 539.586
44000 555.226
45000 570.488
46000 585.758
47000 600.72
48000 615.852
49000 631.562
50000 648.04
