# Time-averaged data for fix myavt
# TimeStep c_mymsd[4]
0 3.85999e-33
5000 56.6418
10000 113.061
15000 172.286
20000 234.455
25000 297.378
30000 362.974
35000 431.86
40000 500.33
45000 578.435
50000 655.857
55000 731.708
60000 811.422
65000 894.146
70000 975.765
75000 1067.83
80000 1149.81
85000 1235.82
90000 1324.26
95000 1416.4
100000 1513.68
105000 1610.41
110000 1716.6
115000 1820.21
120000 1926.34
125000 2024.96
130000 2133.1
135000 2239.42
140000 2351.2
145000 2466.99
150000 2579.49
155000 2699.33
160000 2819.59
165000 2943.78
170000 3070.96
175000 3199.73
180000 3325.41
185000 3449.11
190000 3581.55
195000 3715.27
200000 3853.62
205000 3992.53
210000 4136.53
215000 4279.99
220000 4426.63
225000 4568.28
230000 4706.56
235000 4854.82
240000 5003.57
245000 5156.07
250000 5311.88
255000 5478.7
260000 5637.53
265000 5799.47
270000 5966.42
275000 6128.89
280000 6302.04
285000 6478.41
290000 6661.39
295000 6840.28
300000 7006.28
305000 7180.54
310000 7360.42
315000 7537.64
320000 7712.05
325000 7890.42
330000 8078.71
335000 8259.64
340000 8444.51
345000 8635.65
350000 8821.95
355000 9023.25
360000 9219.08
365000 9425.58
370000 9624.03
375000 9829.98
380000 10038.8
385000 10255.8
390000 10468.2
395000 10678.4
400000 10891.6
405000 11113
410000 11330.4
415000 11564.4
420000 11782.3
425000 12000.6
430000 12217.1
435000 12452.9
440000 12688.7
445000 12915.2
450000 13159
455000 13393.1
460000 13626.2
465000 13871.2
470000 14111.1
475000 14367.7
480000 14623.8
485000 14873.1
490000 15122.1
495000 15379
500000 15632.1
505000 15902.8
510000 16155.5
