# Time-averaged data for fix myavt
# TimeStep c_mymsd[4]
0 0
5000 95.8182
10000 192.111
15000 292.394
20000 392.717
25000 493.102
30000 593.01
35000 698.631
40000 807.39
45000 913.214
50000 1018.6
55000 1131.26
60000 1241.27
65000 1350.13
70000 1467.6
75000 1580.55
80000 1687.68
85000 1805.84
90000 1923.14
95000 2034.32
100000 2146.27
105000 2261.71
110000 2375.47
115000 2498.6
120000 2624.58
125000 2744.71
130000 2861.79
135000 2983.87
140000 3104.15
145000 3226.1
150000 3345.52
155000 3465.83
160000 3587.63
165000 3702.46
170000 3828.75
175000 3948.68
180000 4072.53
185000 4198.82
190000 4324.69
195000 4453.62
200000 4579.83
205000 4723.23
210000 4853.54
215000 4990.32
220000 5133
225000 5273.99
230000 5411.87
235000 5543.97
240000 5687.33
245000 5819.93
250000 5965.92
255000 6099.9
260000 6243.59
265000 6396.36
270000 6539.92
275000 6676.3
280000 6819.6
285000 6969.62
290000 7120.05
295000 7272.42
300000 7423.76
305000 7570.15
310000 7716.35
315000 7888.05
320000 8040.31
325000 8207.45
330000 8382.91
335000 8529
340000 8700.96
345000 8853.83
350000 9009.36
355000 9164.39
360000 9332.23
365000 9496.44
370000 9676.81
375000 9836.54
380000 9985.41
385000 10166.4
390000 10339.1
395000 10499.9
400000 10663.8
405000 10837.6
410000 11026.3
415000 11192.4
420000 11367.6
425000 11553.3
430000 11730.2
435000 11912.6
440000 12078.3
445000 12274.4
450000 12444.2
455000 12608.9
460000 12794.3
465000 12968.2
470000 13144.5
475000 13323
480000 13491.8
485000 13676.5
490000 13838.7
495000 14000.3
500000 14175.7
505000 14375.7
510000 14574.6
