# Time-averaged data for fix myavt
# TimeStep c_mymsd[4]
1000 22.052
2000 68.7192
3000 116.491
4000 163.524
5000 210.036
6000 256.731
7000 305.17
8000 353.278
9000 401.015
10000 452.096
11000 504.695
12000 555.758
13000 609.486
14000 662.387
15000 713.197
16000 761.788
17000 814.569
18000 867.484
19000 919.814
20000 970.636
21000 1023.46
22000 1077.04
23000 1128.84
24000 1180.04
25000 1231.71
26000 1283.01
27000 1336.48
28000 1392.21
29000 1446.21
30000 1504.03
31000 1558.95
32000 1613.53
33000 1666.57
34000 1722.28
35000 1778.53
36000 1831.58
37000 1887.48
38000 1943.07
39000 2000.59
40000 2053.3
41000 2109.78
42000 2166.85
43000 2222.33
44000 2279.49
45000 2340.02
46000 2401.89
47000 2462.17
48000 2521.5
49000 2584.78
50000 2647.49
