# Time-averaged data for fix myavt
# TimeStep c_mymsd[4]
0 2.17701e-32
5000 277.997
10000 568.482
15000 864.125
20000 1170.61
25000 1487.87
30000 1797.89
35000 2119.05
40000 2456.55
45000 2816.22
50000 3164.43
55000 3529.19
60000 3885.12
65000 4247.69
70000 4639.88
75000 5021.97
80000 5408.54
85000 5827.95
90000 6241.04
95000 6663.27
100000 7085.21
105000 7531.23
110000 7973.39
115000 8430.28
120000 8880.55
125000 9373.11
130000 9843.81
135000 10325.3
140000 10805.3
145000 11330.8
150000 11808
155000 12343.8
160000 12835.6
165000 13398.9
170000 13910
175000 14440
180000 14986.5
185000 15523.2
190000 16089.3
195000 16669.3
200000 17257.2
205000 17851
210000 18464.7
215000 19070.8
220000 19703.3
225000 20352.1
230000 20972.7
235000 21637.7
240000 22291
245000 22912.1
250000 23574.4
255000 24225.6
260000 24905.3
265000 25612.9
270000 26302.5
275000 26985.3
280000 27699.7
285000 28437.6
290000 29169.6
295000 29903.9
300000 30613.4
305000 31345
310000 32126.9
315000 32852.1
320000 33635.8
325000 34408.3
330000 35193.5
335000 36001.6
340000 36842.4
345000 37632.7
350000 38443.2
355000 39282.6
360000 40127.3
365000 40979.8
370000 41807.3
375000 42672.8
380000 43501.3
385000 44373.6
390000 45236.7
395000 46144.3
400000 47039.6
405000 47962.7
410000 48893.2
415000 49807.4
420000 50703.5
425000 51628.5
430000 52596.6
435000 53535.6
440000 54482.1
445000 55450
450000 56391
455000 57340.9
460000 58329.2
465000 59335.6
470000 60319.5
475000 61331
480000 62337.6
485000 63307.1
490000 64331.8
495000 65422.9
500000 66443.4
505000 67483.5
510000 68550.9
