# Time-averaged data for fix myavt
# TimeStep c_mymsd[4]
1000 12.3044
2000 38.3874
3000 64.8983
4000 90.3788
5000 116.532
6000 143.594
7000 170.681
8000 197.192
9000 223.784
10000 251.229
11000 279.5
12000 305.889
13000 331.913
14000 358.449
15000 385.464
16000 412.216
17000 439.314
18000 468.372
19000 498.185
20000 526.446
21000 554.411
22000 583.844
23000 612.386
24000 642.405
25000 671.381
26000 702.868
27000 733.229
28000 764.003
29000 795.79
30000 827.543
31000 858.468
32000 888.758
33000 920.934
34000 954.296
35000 986.391
36000 1016.11
37000 1047.43
38000 1080.65
39000 1115.13
40000 1146.41
41000 1179.92
42000 1214.1
43000 1249.07
44000 1284.55
45000 1318.45
46000 1352.19
47000 1386.29
48000 1419.17
49000 1451.5
50000 1486.81
