# Time-averaged data for fix myavt
# TimeStep c_mymsd[4]
1000 26.0737
2000 80.9831
3000 136.171
4000 192.918
5000 249.214
6000 308.3
7000 367.304
8000 424.009
9000 481.315
10000 539.545
11000 597.129
12000 655.533
13000 715.479
14000 772.867
15000 833.204
16000 893.953
17000 955.96
18000 1018.59
19000 1077.52
20000 1140.39
21000 1204.13
22000 1267.64
23000 1330.57
24000 1393.96
25000 1457.09
26000 1517.7
27000 1579.68
28000 1640.25
29000 1702.39
30000 1768.52
31000 1830.71
32000 1893.97
33000 1956.86
34000 2021.76
35000 2084.62
36000 2154.83
37000 2223.76
38000 2290.11
39000 2355.14
40000 2423.39
41000 2490.18
42000 2557.61
43000 2629.23
44000 2705.62
45000 2779.01
46000 2852.61
47000 2921.14
48000 2989.28
49000 3062.08
50000 3131.25
