# Time-averaged data for fix myavt
# TimeStep c_mymsd[4]
1000 18.8067
2000 58.8699
3000 100.321
4000 141.356
5000 183.82
6000 225.76
7000 266.226
8000 306.166
9000 345.091
10000 387.046
11000 429.715
12000 471.578
13000 511.768
14000 553.208
15000 595.767
16000 637.555
17000 678.66
18000 719.951
19000 760.005
20000 800.824
21000 845.281
22000 891.418
23000 936.571
24000 983.367
25000 1029.97
26000 1075.1
27000 1120.5
28000 1162.25
29000 1205.66
30000 1248.49
31000 1295.17
32000 1339.69
33000 1386.6
34000 1432.76
35000 1480.44
36000 1525.99
37000 1576.51
38000 1626.14
39000 1675.43
40000 1726.04
41000 1774.13
42000 1820.35
43000 1868.93
44000 1915.69
45000 1962.03
46000 2007.12
47000 2056.88
48000 2105.32
49000 2154.25
50000 2202.99
