# Time-averaged data for fix myavt
# TimeStep c_mymsd[4]
1000 15.1029
2000 47.4957
3000 79.1645
4000 111.107
5000 143.184
6000 175.878
7000 208.934
8000 242.082
9000 274.2
10000 306.832
11000 340.386
12000 372.642
13000 405.852
14000 439.869
15000 474.042
16000 509.068
17000 542.297
18000 576.361
19000 613.651
20000 650.015
21000 682.272
22000 712.973
23000 744.743
24000 776.826
25000 812.259
26000 846.055
27000 877.522
28000 911.807
29000 945.66
30000 980.918
31000 1016.27
32000 1049.82
33000 1086.58
34000 1120.91
35000 1155.66
36000 1191.52
37000 1225.35
38000 1260.32
39000 1296.93
40000 1330.54
41000 1364.28
42000 1395.97
43000 1429.75
44000 1465.84
45000 1501.59
46000 1537.89
47000 1571.91
48000 1608.65
49000 1644.32
50000 1681.71
